Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Notes
Mirror & Gate Vol. II,"Rolling Acres, Hobo Cubes",Mirror & Gate Vol. II,"Opal Tapes, Blowing Up The Workshop","Cass, Album",,2013,4392202,Uncategorized,2015-07-05 22:23:30,
WAXCS 025,Various,Animal Liberation,"PETA, Wax Trax! Records","Cass, Comp",,1987,7258366,Uncategorized,2022-09-13 14:28:29,
842 565-4,The Fall,Extricate,Polygram,"Cass, Album",,1990,4566962,Uncategorized,2022-10-03 14:47:43,
PRC-9493,Cap'n Jazz,"Burritos, Inspiration Point, Fork Balloon Sports, Cards In The Spokes, Automatic Biographies, Kites, Kung Fu, Trophies, Banana Peels We've Slipped On, And Egg Shells We've Tippy Toed Over",Polyvinyl Record Company,"Cass, Album, RE",,2018,12874653,Uncategorized,2021-11-13 13:58:54,
Posh Isolation 220,Croatian Amor,Isa,Posh Isolation,"Cass, Album",,2019,23764313,Uncategorized,2022-07-02 13:47:06,
Posh Isolation 270,Croatian Amor,Remember Rainbow Bridge,Posh Isolation,"Cass, Album, Ltd",,2022,23110697,Uncategorized,2022-06-20 15:46:20,
PFL-263CS,Mortiferum,Preserved In Torment,Profound Lore Records,"Cass, Album",,2021,20970283,Uncategorized,2021-11-17 18:58:08,
PFL-284,Leviathan (5),Shadow Of No Light,Profound Lore Records,"Box, Comp + 8xCass, RM + Ltd",,2022,24208334,Uncategorized,2022-08-26 08:29:32,
PROS195074,Undeath,It's Time...To Rise From The Grave,Prosthetic Records,"Cass, Album, Gol",,2022,22930823,Uncategorized,2022-04-21 03:42:38,
PVCC 8940,The Fall,This Nation's Saving Grace,PVC Records,"Cass, Album",,1985,1740439,Uncategorized,2021-12-12 12:36:10,
PVCC 9903,Foetus,Hole,"PVC Records, Self Immolation, ZE Records","Cass, Album, C90",,1984,1223943,Uncategorized,2022-03-30 15:12:38,
PCH002CS,Devata Daun,Look,Pytch Records,"Cass, Album, Yel",,2016,8524717,Uncategorized,2016-05-15 21:14:34,
HTCT 9913,Various,Radikal Techno Volume 2,Radikal Records,"Cass, Comp",,1992,7575279,Uncategorized,2022-07-16 14:44:21,
9582-4-H,The Fall,I Am Kurious Oranj,RCA,"Cass, Album",,1988,1741424,Uncategorized,2022-10-03 14:47:30,
9807-4-H,The Fall,Seminal Live,RCA,"Cass, Album, Dol",,1989,1560084,Uncategorized,2022-10-03 14:47:01,
6987-4-H,The Fall,The Frenz Experiment,"RCA, BMG, Beggars Banquet","Cass, Album, Dol",,1988,3481290,Uncategorized,2021-12-12 12:35:11,
RR7154,Death (2),The Sound Of Perseverance,Relapse Records,"Cass, Album, RE, Whi",,2021,20173969,Uncategorized,2022-08-26 06:52:40,
RR7165,Death (2),Human,Relapse Records,"Cass, Album, RE, Whi",,2021,20173915,Uncategorized,2021-11-13 14:01:13,
RR7171,Death (2),Individual Thought Patterns,Relapse Records,"Cass, Album, RE, Whi",,2021,20184391,Uncategorized,2022-08-26 06:52:59,
RR7194,Death (2),Spiritual Healing,Relapse Records,"Cass, Album, RE, Whi",,2021,20173891,Uncategorized,2022-08-26 06:53:18,
RR7228,Death (2),Leprosy ,Relapse Records,"Cass, Album, RE, Whi",,2021,20173807,Uncategorized,2022-08-26 06:53:39,
RR7324,Death (2),Scream Bloody Gore,Relapse Records,"Cass, Album, RE, Whi",,2021,20173765,Uncategorized,2022-08-26 06:52:05,
RR7454,Genghis Tron,Dream Weapon,Relapse Records,"Cass, Album, Blu",,2021,18344374,Uncategorized,2021-11-13 14:05:45,
RR7508,Obituary,Slowly We Rot - Live & Rotting,"Relapse Records, Gibtown Records","Cass, Album",,2022,24337103,Uncategorized,2022-08-27 21:02:41,
RR7509,Obituary,Cause Of Death - Live Infection,"Relapse Records, Gibtown Records","Cass, Album",,2022,24337082,Uncategorized,2022-08-27 20:56:14,
88561-1087-4,Godflesh,Pure,Relativity,"Cass, Album",,1992,1714822,Uncategorized,2015-08-27 16:29:00,
88561-1112-4,Scorn,Vae Solis,Relativity,"Cass, Album",,1992,3446796,Uncategorized,2022-03-29 18:23:52,
9 46923-4,Orgy,Candyass,"Reprise Records, Elementree Records","Cass, Album",,1998,10948311,Uncategorized,2022-09-23 19:15:22,
RR 9105-4,Various,At Death's Door II,Roadrunner Records,"Cass, Comp",,1993,728149,Uncategorized,2022-07-16 14:44:21,
KG-0980791,Obituary,Cause Of Death,"Roadrunner Records, Roadracer Records","Cass, Album",,1991,11086944,Uncategorized,2022-10-03 14:44:10,
KG-0980791,Obituary,Cause Of Death,"Roadrunner Records, Roadracer Records","Cass, Album",,1991,11086944,Uncategorized,2022-10-03 14:44:12,
ROTTED11,Phobophilic,Undimensioned Identities,Rotted Life,"Cass, EP",,2019,14265286,Uncategorized,2022-11-16 06:42:56,
ROTTED43,Phobophilic,Enveloping Absurdity,Rotted Life,"Cass, Album, Ltd, Bla",,2022,24621182,Uncategorized,2022-09-24 15:39:48,
ROTTEN 003,Gorguts,Considered Dead,Rotten Carnage Records,"Cass, Ltd, Unofficial, Pic",,2021,20659660,Uncategorized,2021-11-13 14:17:19,
825 094-4 Y-1,Blind Faith (2),Blind Faith,RSO,"Cass, Album, RE",,0,4516202,Uncategorized,2022-10-25 19:16:51,
SCORN CS 1,Scorn,Ellipsis,Scorn Recordings,"Cass, Album",,1995,1340225,Uncategorized,2022-09-08 14:58:25,
SVR MC 029,Black Curse (2),Endless Wound,Sepulchral Voice Records,"Cass, Album",,2020,16948623,Uncategorized,2021-11-13 14:26:17,
